idna_subject,checker_type,destination,tested_at
diggstatic.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-28 22:58:46.864650
facebook.com*,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-28 23:00:21.265855
instagramfollowbutton.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-28 23:07:50.830241
platform.twitter.com*,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-28 23:12:04.790689
smartaddon.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-28 23:28:09.586907
socialhoney.co,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-28 23:31:24.094969
static*.linkedin.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 01:20:59.343635
twitstat.us,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 01:26:13.497721
ywidgets.awe.sm,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 01:41:46.198113
facebook.com*,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:11:41.785287
platform.twitter.com*,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:13:09.602513
diggstatic.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:13:27.345963
instagramfollowbutton.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:15:04.495259
static*.linkedin.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:15:05.091445
socialhoney.co,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:17:23.724789
twitstat.us,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:18:22.880709
ywidgets.awe.sm,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:21:04.052716
smartaddon.com,AVAILABILITY,fanboy_social_thirdparty.txt,2021-01-29 03:21:49.235251
04426f8b7ce9b069431.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:30:14.851704
073c0cec65916314a.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:30:20.118801
07346e971b1ec7f.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:30:20.387245
0aa89ur58y.top,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:30:20.548356
0898hhh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:30:21.554922
0c8a10b46fc6.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:30:25.743614
1f58098dd54.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:32:36.736343
10a053584f01fcaeab1.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:32:38.565839
165a7c15380874ef3.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:32:38.777638
110380d053f716c4.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:32:39.504051
12dc71b7cb820f2a.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:32:39.535899
1sen-pit-fan.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:32:40.974437
20afcc1f257.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:34:48.657468
2hanwriten.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:34:51.270115
304c40d20085e.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:34:52.974200
2778255fe56.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:34:54.580416
344dea1d6d130a7e8e.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:35:25.613689
46186911.vtt,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:35:30.029657
3878896c72ed218.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:36:59.012793
3b0b68c876376f7311.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:37:02.649455
4141d006e4f4dd17ab9.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:37:04.548505
41ef19c0f0794e058c.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:37:06.585991
24smile.org,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:37:17.093790
4e34b4865905c4.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:38:12.926054
4eacccd99990beed317.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:39:09.071737
4fb0a3bf4a3d38.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:39:14.282530
5edb123fa3329.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:39:32.731108
640f94e47dc41c.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:39:38.104324
6bd9a2ea1a1801e55.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:39:52.109929
6c37f8a12dede103bf7.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 03:40:29.850494
