idna_subject,checker_type,destination,source,tested_at,session_id
go-route.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.084759,9ed55a03cb580aa14b1c7e4c
grtyv.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.086226,9ed55a03cb580aa14b1c7e4c
hanaprop.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.087687,9ed55a03cb580aa14b1c7e4c
herezera.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.089206,9ed55a03cb580aa14b1c7e4c
hizlireklam.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.090718,9ed55a03cb580aa14b1c7e4c
hornymatches.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.092246,9ed55a03cb580aa14b1c7e4c
hpyrdr.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.093812,9ed55a03cb580aa14b1c7e4c
hrtya.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.095357,9ed55a03cb580aa14b1c7e4c
ilovejuju.be,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.096915,9ed55a03cb580aa14b1c7e4c
indianfriendfinder.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.098532,9ed55a03cb580aa14b1c7e4c
ipvertising.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.100134,9ed55a03cb580aa14b1c7e4c
irtye.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.101785,9ed55a03cb580aa14b1c7e4c
isanalyze.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.103437,9ed55a03cb580aa14b1c7e4c
jeisl.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.105123,9ed55a03cb580aa14b1c7e4c
jizzy.org,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.106821,9ed55a03cb580aa14b1c7e4c
jsmjmp.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.108517,9ed55a03cb580aa14b1c7e4c
juicyads.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.110279,9ed55a03cb580aa14b1c7e4c
kaizentraffic.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.112043,9ed55a03cb580aa14b1c7e4c
libedgolart.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.113818,9ed55a03cb580aa14b1c7e4c
lofv.xyz,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.115563,9ed55a03cb580aa14b1c7e4c
loltrk.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.117397,9ed55a03cb580aa14b1c7e4c
misspkl.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.119253,9ed55a03cb580aa14b1c7e4c
moradu.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.121083,9ed55a03cb580aa14b1c7e4c
mptentry.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.122935,9ed55a03cb580aa14b1c7e4c
needlive.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.124816,9ed55a03cb580aa14b1c7e4c
nextlandingads.com,AVAILABILITY,adult_adservers_popup.txt,/home/runner/work/EasyList/EasyList/adult_adservers_popup.txt,2001-02-11 17:44:20.126729,9ed55a03cb580aa14b1c7e4c
