idna_subject,checker_type,destination,source,tested_at,session_id
a.bitporno.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:03:05.634726,920db5ea076f5ccb2b1d7691
adultvideoz.net,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:03:11.093665,920db5ea076f5ccb2b1d7691
bitchcrawler.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:04:04.094779,920db5ea076f5ccb2b1d7691
delivery.porn.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:04:55.628454,920db5ea076f5ccb2b1d7691
downloadableporn.org,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:01.054163,920db5ea076f5ccb2b1d7691
eporner.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:06.451212,920db5ea076f5ccb2b1d7691
fantasti.cc,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:11.894376,920db5ea076f5ccb2b1d7691
fantastube.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:17.467821,920db5ea076f5ccb2b1d7691
fc2.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:22.912914,920db5ea076f5ccb2b1d7691
fileparadox.in,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:28.728958,920db5ea076f5ccb2b1d7691
goo.gl,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:34.154323,920db5ea076f5ccb2b1d7691
h2porn.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:39.552820,920db5ea076f5ccb2b1d7691
hegansex.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:45.018173,920db5ea076f5ccb2b1d7691
heganteens.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:50.588033,920db5ea076f5ccb2b1d7691
hilostripper.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:05:56.135022,920db5ea076f5ccb2b1d7691
hotscopes.net,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:06:01.576749,920db5ea076f5ccb2b1d7691
icebns.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:06:07.021654,920db5ea076f5ccb2b1d7691
imagebam.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:06:12.415672,920db5ea076f5ccb2b1d7691
imgadult.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:06:17.854441,920db5ea076f5ccb2b1d7691
livejasmin.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:06:23.295753,920db5ea076f5ccb2b1d7691
movies.askjolene.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:08:46.955400,920db5ea076f5ccb2b1d7691
namethatporn.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:08:52.405687,920db5ea076f5ccb2b1d7691
nuvidp.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:08:59.478859,920db5ea076f5ccb2b1d7691
pop.fapxl.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:09:51.178546,920db5ea076f5ccb2b1d7691
porn101.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:09:56.738741,920db5ea076f5ccb2b1d7691
porndoo.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:10:02.178107,920db5ea076f5ccb2b1d7691
pornflip.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:10:07.603426,920db5ea076f5ccb2b1d7691
publicagent.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:10:13.056101,920db5ea076f5ccb2b1d7691
r18.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:10:18.511880,920db5ea076f5ccb2b1d7691
rackcdn.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:10:23.950112,920db5ea076f5ccb2b1d7691
site-rips.org,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:10:29.474775,920db5ea076f5ccb2b1d7691
xvideos-free.com,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:10:35.159119,920db5ea076f5ccb2b1d7691
ymages.org,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-19 07:14:25.295494,920db5ea076f5ccb2b1d7691
fantasti.cc^,AVAILABILITY,adult_specific_block_popup.txt,adult_specific_block_popup.txt,2021-03-26 18:40:05.074299,920db5ea076f5ccb2b1d7691
