idna_subject,checker_type,destination,source,tested_at,session_id
18onlygirls.tv,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:17:18.453694,311f58ecd35f0fc7a09dff50
4tube.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:17:23.902340,311f58ecd35f0fc7a09dff50
69games.xxx,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:17:29.726019,311f58ecd35f0fc7a09dff50
adult.xyz,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:17:40.572699,311f58ecd35f0fc7a09dff50
adultfriendfinder.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:17:46.132977,311f58ecd35f0fc7a09dff50
aff-jp.dxlive.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:18:37.816281,311f58ecd35f0fc7a09dff50
affiliate.dtiserv.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:18:43.301166,311f58ecd35f0fc7a09dff50
affiliates.cupidplc.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:19:36.015381,311f58ecd35f0fc7a09dff50
affiliates.thrixxx.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:20:29.045628,311f58ecd35f0fc7a09dff50
allanalpass.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:20:34.493151,311f58ecd35f0fc7a09dff50
amarotic.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:20:40.072551,311f58ecd35f0fc7a09dff50
amateurporn.net,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:20:45.631191,311f58ecd35f0fc7a09dff50
asianbutterflies.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:20:51.213331,311f58ecd35f0fc7a09dff50
asktiava.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:20:56.671304,311f58ecd35f0fc7a09dff50
assinclusive.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:21:50.334490,311f58ecd35f0fc7a09dff50
atlasfiles.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:21:55.776194,311f58ecd35f0fc7a09dff50
avatraffic.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:22:01.232485,311f58ecd35f0fc7a09dff50
awempt.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:22:06.644661,311f58ecd35f0fc7a09dff50
awestat.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:22:13.578371,311f58ecd35f0fc7a09dff50
b-cdn.net,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:22:19.216043,311f58ecd35f0fc7a09dff50
bangdom.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:22:24.653257,311f58ecd35f0fc7a09dff50
banner.themediaplanets.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:23:16.361855,311f58ecd35f0fc7a09dff50
banners.adultfriendfinder.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:24:08.066678,311f58ecd35f0fc7a09dff50
banners.alt.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:24:59.754315,311f58ecd35f0fc7a09dff50
banners.amigos.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:25:55.045074,311f58ecd35f0fc7a09dff50
banners.fastcupid.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:26:49.274830,311f58ecd35f0fc7a09dff50
banners.fuckbookhookups.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:27:41.900740,311f58ecd35f0fc7a09dff50
banners.nostringsattached.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:28:34.448794,311f58ecd35f0fc7a09dff50
banners.outpersonals.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:29:26.034761,311f58ecd35f0fc7a09dff50
banners.passion.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:30:17.615083,311f58ecd35f0fc7a09dff50
banners.payserve.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:31:09.417120,311f58ecd35f0fc7a09dff50
banners.penthouse.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:33:33.191476,311f58ecd35f0fc7a09dff50
banners.videosecrets.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:35:58.228366,311f58ecd35f0fc7a09dff50
bannershotlink.perfectgonzo.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:49:59.786969,311f58ecd35f0fc7a09dff50
bans.bride.ru,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:50:53.952976,311f58ecd35f0fc7a09dff50
bate.cum-shows.net,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:51:50.219154,311f58ecd35f0fc7a09dff50
blogspot.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:51:55.691374,311f58ecd35f0fc7a09dff50
bnr.playmagazines.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:52:48.207526,311f58ecd35f0fc7a09dff50
bongacams.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:52:53.779722,311f58ecd35f0fc7a09dff50
bongacash.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:52:59.262638,311f58ecd35f0fc7a09dff50
br.fling.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:53:51.783933,311f58ecd35f0fc7a09dff50
br.realitykings.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:54:47.908355,311f58ecd35f0fc7a09dff50
brazzers.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:54:53.399132,311f58ecd35f0fc7a09dff50
cams.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:54:58.896501,311f58ecd35f0fc7a09dff50
cams.enjoy.be,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:55:53.304196,311f58ecd35f0fc7a09dff50
cams.spacash.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:56:45.811293,311f58ecd35f0fc7a09dff50
camsaim.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:56:51.421654,311f58ecd35f0fc7a09dff50
camsoda.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:56:56.905094,311f58ecd35f0fc7a09dff50
cash.femjoy.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:57:49.462606,311f58ecd35f0fc7a09dff50
chaturbate.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:57:54.907951,311f58ecd35f0fc7a09dff50
cmix.org,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:58:00.748568,311f58ecd35f0fc7a09dff50
creamgoodies.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:58:06.367974,311f58ecd35f0fc7a09dff50
creative.stripchat.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:58:58.590191,311f58ecd35f0fc7a09dff50
creative.strpjmp.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:59:51.151667,311f58ecd35f0fc7a09dff50
ddfcash.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 18:59:56.653693,311f58ecd35f0fc7a09dff50
fansign.streamray.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:02:25.947812,311f58ecd35f0fc7a09dff50
fbooksluts.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:02:31.446070,311f58ecd35f0fc7a09dff50
feeds.videosz.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:04:57.825774,311f58ecd35f0fc7a09dff50
fleshlight.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:05:03.352979,311f58ecd35f0fc7a09dff50
gagthebitch.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:05:08.865398,311f58ecd35f0fc7a09dff50
galeriaseroticas.xpg.com.br,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:11:43.136527,311f58ecd35f0fc7a09dff50
gashot.yurivideos.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:12:40.498527,311f58ecd35f0fc7a09dff50
gateway-banner.eravage.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:13:32.905741,311f58ecd35f0fc7a09dff50
geo.cliphunter.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:14:25.997238,311f58ecd35f0fc7a09dff50
geo.frtya.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:15:18.518733,311f58ecd35f0fc7a09dff50
geo.frtyd.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:16:13.067136,311f58ecd35f0fc7a09dff50
geobanner.adultfriendfinder.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:17:05.765240,311f58ecd35f0fc7a09dff50
geobanner.alt.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:17:58.277975,311f58ecd35f0fc7a09dff50
geobanner.blacksexmatch.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:18:51.899629,311f58ecd35f0fc7a09dff50
geobanner.fuckbookhookups.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:19:45.251874,311f58ecd35f0fc7a09dff50
geobanner.hornywife.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:20:38.941627,311f58ecd35f0fc7a09dff50
geobanner.sexfinder.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:21:32.283782,311f58ecd35f0fc7a09dff50
gfrevenge.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:21:37.824989,311f58ecd35f0fc7a09dff50
girls-home-alone.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:25:31.425988,311f58ecd35f0fc7a09dff50
girlsfuck-tube.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:39:37.259869,311f58ecd35f0fc7a09dff50
go2cdn.org,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:39:44.160967,311f58ecd35f0fc7a09dff50
hardbritlads.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:39:49.784256,311f58ecd35f0fc7a09dff50
hdpornphotos.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:39:55.434790,311f58ecd35f0fc7a09dff50
hentaijunkie.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:40:01.161719,311f58ecd35f0fc7a09dff50
hentaikey.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:40:06.726185,311f58ecd35f0fc7a09dff50
hodun.ru,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:40:12.627268,311f58ecd35f0fc7a09dff50
homoactive.tv,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:40:18.149341,311f58ecd35f0fc7a09dff50
hornybirds.com,AVAILABILITY,adult_thirdparty.txt,adult_thirdparty.txt,2021-03-19 19:40:23.783978,311f58ecd35f0fc7a09dff50
