idna_subject,checker_type,destination,source,tested_at,session_id
1800freecams.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.510600,4311d2d8a742a7989dc7670c
21sextury.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.511363,4311d2d8a742a7989dc7670c
777livecams.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.512178,4311d2d8a742a7989dc7670c
adultfriendfinder.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.512765,4311d2d8a742a7989dc7670c
amarotic.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.513779,4311d2d8a742a7989dc7670c
babecams.net,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.515201,4311d2d8a742a7989dc7670c
benaughty.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.515826,4311d2d8a742a7989dc7670c
cam4.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.516641,4311d2d8a742a7989dc7670c
camcity.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.517252,4311d2d8a742a7989dc7670c
chaturbate.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.517913,4311d2d8a742a7989dc7670c
cpm.amateurcommunity.*,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.519233,4311d2d8a742a7989dc7670c
devilsfilm.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.519861,4311d2d8a742a7989dc7670c
epornerlive.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.520604,4311d2d8a742a7989dc7670c
exposedwebcams.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.521256,4311d2d8a742a7989dc7670c
ext.affaire.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.521914,4311d2d8a742a7989dc7670c
extremefuse.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.522648,4311d2d8a742a7989dc7670c
fakehub.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.523351,4311d2d8a742a7989dc7670c
fantasti.cc,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.524161,4311d2d8a742a7989dc7670c
fleshlight-international.eu,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.524886,4311d2d8a742a7989dc7670c
fling.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.526021,4311d2d8a742a7989dc7670c
flirt4free.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.526974,4311d2d8a742a7989dc7670c
fuckbookhookups.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.528748,4311d2d8a742a7989dc7670c
fuckbooknet.net,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.529522,4311d2d8a742a7989dc7670c
fuckshow.org,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.530449,4311d2d8a742a7989dc7670c
fucktapes.org,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.531316,4311d2d8a742a7989dc7670c
get-a-fuck-tonight.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.532214,4311d2d8a742a7989dc7670c
hazeher.com,AVAILABILITY,adult_thirdparty_popup.txt,/home/runner/work/EasyList/EasyList/adult_thirdparty_popup.txt,2001-02-11 16:55:53.533123,4311d2d8a742a7989dc7670c
