idna_subject,checker_type,destination,source,tested_at,session_id
byom.de,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:04:50.025356,fa3e9f78a23c177ca73042b3
cmp.pcwelt.de,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:07:15.023898,fa3e9f78a23c177ca73042b3
cmp.tvspielfilm.de,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:09:41.484401,fa3e9f78a23c177ca73042b3
consent.berliner-kurier.de,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:10:33.677327,fa3e9f78a23c177ca73042b3
consent.gutefrage.net,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:12:58.506335,fa3e9f78a23c177ca73042b3
henryschein.at,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:13:04.051169,fa3e9f78a23c177ca73042b3
keltendorf-mitterkirchen.at,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:13:09.589761,fa3e9f78a23c177ca73042b3
strato.de,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:13:15.031271,fa3e9f78a23c177ca73042b3
up-cookiemon.wavecdn.net,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:14:13.227122,fa3e9f78a23c177ca73042b3
cnil.links-lab.fr,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:15:08.542191,fa3e9f78a23c177ca73042b3
consent.prismamedia.com,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:17:38.132672,fa3e9f78a23c177ca73042b3
cookies.leadplace.fr,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:04.537887,fa3e9f78a23c177ca73042b3
docteurclic.com,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:10.040608,fa3e9f78a23c177ca73042b3
gmx.fr,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:15.519317,fa3e9f78a23c177ca73042b3
googletagmanager.com,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:20.985980,fa3e9f78a23c177ca73042b3
jeu.video,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:26.431923,fa3e9f78a23c177ca73042b3
thesiteoueb.net,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:31.904965,fa3e9f78a23c177ca73042b3
styria.hr,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:37.381368,fa3e9f78a23c177ca73042b3
tv2a.dk,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:20:42.863581,fa3e9f78a23c177ca73042b3
cookie.vrt.be,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:23:08.578914,fa3e9f78a23c177ca73042b3
cookie.wieni.be,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:55:01.425909,fa3e9f78a23c177ca73042b3
cookies.nos.nl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 04:57:35.088240,fa3e9f78a23c177ca73042b3
cookiesv2.publiekeomroep.nl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:01:31.044773,fa3e9f78a23c177ca73042b3
tmgonlinemedia.nl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:01:36.564259,fa3e9f78a23c177ca73042b3
tol.postnl.nl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:05:35.728749,fa3e9f78a23c177ca73042b3
almamedia.fi,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:05:41.327602,fa3e9f78a23c177ca73042b3
hsy.fi,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:05:46.878146,fa3e9f78a23c177ca73042b3
sanoma.fi,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:05:52.423924,fa3e9f78a23c177ca73042b3
bastabugie.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:05:57.946252,fa3e9f78a23c177ca73042b3
cippy.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:06:03.441023,fa3e9f78a23c177ca73042b3
cms24.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:06:08.956775,fa3e9f78a23c177ca73042b3
cookie.aerostatonet.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:07:09.117835,fa3e9f78a23c177ca73042b3
cookierulez.sqrt64.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:08:02.863459,fa3e9f78a23c177ca73042b3
cookies.gardena.net,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:08:56.227998,fa3e9f78a23c177ca73042b3
creaweb.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:09:01.741393,fa3e9f78a23c177ca73042b3
cure-naturali.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:09:07.231380,fa3e9f78a23c177ca73042b3
effekt.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:09:12.759457,fa3e9f78a23c177ca73042b3
londraweb.com,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:09:18.269862,fa3e9f78a23c177ca73042b3
meteorete.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:09:23.898172,fa3e9f78a23c177ca73042b3
ok-salute.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:09:29.391347,fa3e9f78a23c177ca73042b3
plug.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:09:34.989248,fa3e9f78a23c177ca73042b3
privacyportal.fatergroup.com,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:10:29.222464,fa3e9f78a23c177ca73042b3
rcsobjects.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:10:34.838525,fa3e9f78a23c177ca73042b3
spesasicura.com,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:10:40.423588,fa3e9f78a23c177ca73042b3
stbm.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:10:45.908373,fa3e9f78a23c177ca73042b3
triboo.direct,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:10:51.776533,fa3e9f78a23c177ca73042b3
velvetgossip.it,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:10:57.268331,fa3e9f78a23c177ca73042b3
4hifi.pl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:11:02.881728,fa3e9f78a23c177ca73042b3
animesub.info,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:11:08.513399,fa3e9f78a23c177ca73042b3
cmp.computerworld.pl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:13:38.374698,fa3e9f78a23c177ca73042b3
cmp.cxo.pl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:16:06.753208,fa3e9f78a23c177ca73042b3
cmp.idg.pl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:18:34.012214,fa3e9f78a23c177ca73042b3
cmp.internetstandard.pl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:21:02.969403,fa3e9f78a23c177ca73042b3
cmp.pcworld.pl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:23:28.938374,fa3e9f78a23c177ca73042b3
cookie.gazeta.pl,AVAILABILITY,easylist_cookie_international_specific_block.txt,easylist_cookie_international_specific_block.txt,2021-03-20 05:24:21.892145,fa3e9f78a23c177ca73042b3
