idna_subject,checker_type,destination,source,tested_at,session_id
agicssecurity.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 18:41:08.217898,623c6a209a029b7413d68e23
appconsent.io,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 18:41:14.448349,623c6a209a029b7413d68e23
cmp.infopro-digital.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 18:43:43.022808,623c6a209a029b7413d68e23
conclude.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:44:13.112119,623c6a209a029b7413d68e23
consent.23g.io,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:45:06.808154,623c6a209a029b7413d68e23
consent.cmp.oath.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:47:32.475555,623c6a209a029b7413d68e23
consent.theneweuropean.co.uk,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:49:57.268608,623c6a209a029b7413d68e23
cookie.oup.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:53:49.983192,623c6a209a029b7413d68e23
dam.bbcchannels.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:56:17.055877,623c6a209a029b7413d68e23
duotonesports.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:56:22.485711,623c6a209a029b7413d68e23
emerse.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:56:27.926528,623c6a209a029b7413d68e23
freedoflondon.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:56:33.380083,623c6a209a029b7413d68e23
freetls.fastly.net,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:57:25.267234,623c6a209a029b7413d68e23
fundingchoicesmessages.google.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 19:59:49.959294,623c6a209a029b7413d68e23
gdpr.internetbrands.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:00:41.801100,623c6a209a029b7413d68e23
gdpr.prisa.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:04:39.123653,623c6a209a029b7413d68e23
government-and-constitution.org,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:04:44.556319,623c6a209a029b7413d68e23
harpercollins.co.uk,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:04:49.987771,623c6a209a029b7413d68e23
hunstoncanoeclub.co.uk,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:04:55.424227,623c6a209a029b7413d68e23
inblu.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:05:00.993840,623c6a209a029b7413d68e23
jimmychoo.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:05:06.430101,623c6a209a029b7413d68e23
kayak.*,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:05:06.529815,623c6a209a029b7413d68e23
mad-daily.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:05:11.965028,623c6a209a029b7413d68e23
masaltos.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:05:17.403847,623c6a209a029b7413d68e23
mms.cmpsky.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:07:47.240541,623c6a209a029b7413d68e23
ncaa.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:07:52.668235,623c6a209a029b7413d68e23
omgubuntu.co.uk,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:07:58.089714,623c6a209a029b7413d68e23
onlive.co.uk,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:08:03.524307,623c6a209a029b7413d68e23
parliamentlive.tv,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:08:09.217327,623c6a209a029b7413d68e23
privacy.claytonhomes.com,AVAILABILITY,easylist_cookie_specific_block.txt,easylist_cookie_specific_block.txt,2021-03-26 20:10:34.626675,623c6a209a029b7413d68e23
