idna_subject,checker_type,destination,source,tested_at,session_id
admiral.mgr.consensu.org,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 19:30:10.924864,795327e2bfaed30483c0b9cf
akamaihd.net,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 19:30:16.319889,795327e2bfaed30483c0b9cf
alma-cmp.almamedia.io,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 19:31:11.267126,795327e2bfaed30483c0b9cf
analytics-consent-manager.azureedge.net,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 19:33:37.919204,795327e2bfaed30483c0b9cf
app.livemarketshoppers.com,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:51:07.582038,795327e2bfaed30483c0b9cf
assetlab.io,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:51:13.768957,795327e2bfaed30483c0b9cf
axept.io,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:51:20.001619,795327e2bfaed30483c0b9cf
axeptio.eu,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:51:25.538653,795327e2bfaed30483c0b9cf
californiatimes.com,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:51:31.095787,795327e2bfaed30483c0b9cf
ccpa-script.psg.nexstardigital.net,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:53:57.776003,795327e2bfaed30483c0b9cf
civiccomputing.com,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:54:03.258549,795327e2bfaed30483c0b9cf
clickio.mgr.consensu.org,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:54:08.773259,795327e2bfaed30483c0b9cf
cmp.network-n.com,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:56:33.933135,795327e2bfaed30483c0b9cf
cmp.nextday.media,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:57:27.633933,795327e2bfaed30483c0b9cf
consensu.org,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:57:33.075203,795327e2bfaed30483c0b9cf
consent.dk,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:57:38.539467,795327e2bfaed30483c0b9cf
consent.truste.com,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:58:30.448946,795327e2bfaed30483c0b9cf
consentag.eu,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:58:35.943182,795327e2bfaed30483c0b9cf
consentframework.com,AVAILABILITY,easylist_cookie_thirdparty.txt,easylist_cookie_thirdparty.txt,2021-03-27 20:58:41.406079,795327e2bfaed30483c0b9cf
