idna_subject,checker_type,destination,source,tested_at,session_id
cadsecs.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:13:03.813621,e88dd2f55cab03e00c6745f4
get-download.club,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:13:09.979902,e88dd2f55cab03e00c6745f4
maskip.co,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:13:15.445794,e88dd2f55cab03e00c6745f4
prayuserparka.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:13:20.878335,e88dd2f55cab03e00c6745f4
wap4dollar.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:13:26.307825,e88dd2f55cab03e00c6745f4
advertisesimple.info,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:16:52.434097,e88dd2f55cab03e00c6745f4
raboninco.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:16:57.930293,e88dd2f55cab03e00c6745f4
affect3dnetwork.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:17:03.480632,e88dd2f55cab03e00c6745f4
go.affiliatexe.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:19:14.497292,e88dd2f55cab03e00c6745f4
secure.bmtmicro.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:20:01.664089,e88dd2f55cab03e00c6745f4
adultfriendfinder.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:20:07.158803,e88dd2f55cab03e00c6745f4
www.brazzersnetwork.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:22:21.075280,e88dd2f55cab03e00c6745f4
delivery.trafficfabrik.com,AVAILABILITY,easylist_general_hide.txt,easylist_general_hide.txt,2021-03-07 18:23:07.715019,e88dd2f55cab03e00c6745f4
