idna_subject,checker_type,destination,source,tested_at,session_id
adf.ly,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.751873,1fc3b8e011ae9bde4e32a4ed
adyou.me,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.753290,1fc3b8e011ae9bde4e32a4ed
aiosearch.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.754068,1fc3b8e011ae9bde4e32a4ed
amazonaws.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.754633,1fc3b8e011ae9bde4e32a4ed
beap.gemini.yahoo.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.755149,1fc3b8e011ae9bde4e32a4ed
bit.ly,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.755732,1fc3b8e011ae9bde4e32a4ed
casino-x.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.756569,1fc3b8e011ae9bde4e32a4ed
channel4.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.757141,1fc3b8e011ae9bde4e32a4ed
cloudfront.net,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.757718,1fc3b8e011ae9bde4e32a4ed
conservativepost.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.758294,1fc3b8e011ae9bde4e32a4ed
content.powvideo.net,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.758885,1fc3b8e011ae9bde4e32a4ed
csgofast.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.759475,1fc3b8e011ae9bde4e32a4ed
deb.gs,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.760111,1fc3b8e011ae9bde4e32a4ed
e2b9jbowv7.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.760882,1fc3b8e011ae9bde4e32a4ed
edomz.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.761740,1fc3b8e011ae9bde4e32a4ed
embed.mystream.to,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.762503,1fc3b8e011ae9bde4e32a4ed
f-picture.net,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.763555,1fc3b8e011ae9bde4e32a4ed
fashionsaga.com,AVAILABILITY,easylist_specific_block_popup.txt,/home/runner/work/EasyList/EasyList/easylist_specific_block_popup.txt,2001-02-11 16:14:46.764494,1fc3b8e011ae9bde4e32a4ed
