idna_subject,checker_type,destination,source,tested_at,session_id
4players.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.393876,ef72a70dd3016be421f78756
85.237.86.50,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.394333,ef72a70dd3016be421f78756
ab-in-den-urlaub.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.394761,ef72a70dd3016be421f78756
abakus.freenet.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.395604,ef72a70dd3016be421f78756
ac.berlinonline.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.396073,ef72a70dd3016be421f78756
ac.express.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.396542,ef72a70dd3016be421f78756
ac.mz-web.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.397014,ef72a70dd3016be421f78756
acl.stayfriends.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.397616,ef72a70dd3016be421f78756
adtm.chip.de,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.398124,ef72a70dd3016be421f78756
akamaihd.net,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.398663,ef72a70dd3016be421f78756
analytics.arz.at,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.399198,ef72a70dd3016be421f78756
analytics.industriemagazin.net,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.399837,ef72a70dd3016be421f78756
analytics.mbga.jp,AVAILABILITY,easyprivacy_specific_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_specific_international.txt,2001-02-11 16:58:14.400428,ef72a70dd3016be421f78756
