idna_subject,checker_type,destination,source,tested_at,session_id
123-counter.de,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.346523,55e3950faab74b31b6c1e442
12mnkys.com,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.347131,55e3950faab74b31b6c1e442
193.197.158.209,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.347621,55e3950faab74b31b6c1e442
212.95.32.75,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.348098,55e3950faab74b31b6c1e442
24log.de,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.348609,55e3950faab74b31b6c1e442
3ng6p6m0.de,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.349135,55e3950faab74b31b6c1e442
4stats.de,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.349686,55e3950faab74b31b6c1e442
actionallocator.com,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.350247,55e3950faab74b31b6c1e442
active-tracking.de,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.350827,55e3950faab74b31b6c1e442
adc-serv.net,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.351427,55e3950faab74b31b6c1e442
adclear.net,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.352043,55e3950faab74b31b6c1e442
adcrowd.com,AVAILABILITY,easyprivacy_trackingservers_international.txt,/home/runner/work/EasyList/EasyList/easyprivacy_trackingservers_international.txt,2001-02-11 17:50:16.352677,55e3950faab74b31b6c1e442
