idna_subject,checker_type,destination,source,tested_at,session_id
nasa.gov,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.934546,c866af89d133109168fad664
billabong.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.935511,c866af89d133109168fad664
liputan6.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.937515,c866af89d133109168fad664
rejuvenation.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.937923,c866af89d133109168fad664
autotrader.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.938327,c866af89d133109168fad664
brydge.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.938740,c866af89d133109168fad664
archeda.eu,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.939373,c866af89d133109168fad664
engie.fr,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.940825,c866af89d133109168fad664
gaz-tarif-reglemente.fr,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.941330,c866af89d133109168fad664
rmf24.pl,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.942124,c866af89d133109168fad664
aqa-shop.ru,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.943733,c866af89d133109168fad664
stp-shop.ru,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.944264,c866af89d133109168fad664
mk-78.ru,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.944799,c866af89d133109168fad664
megalight18.net,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.945363,c866af89d133109168fad664
gcnlive.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.946699,c866af89d133109168fad664
patch.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.947683,c866af89d133109168fad664
hearthis.at,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.948495,c866af89d133109168fad664
rbxactive.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.949833,c866af89d133109168fad664
arma3.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.951230,c866af89d133109168fad664
dayz.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.951921,c866af89d133109168fad664
mercopress.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.953121,c866af89d133109168fad664
lecyclo.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.954196,c866af89d133109168fad664
wagingnonviolence.org,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.955928,c866af89d133109168fad664
upim.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.956866,c866af89d133109168fad664
tactxflashlights.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.958708,c866af89d133109168fad664
exposurelights.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.959434,c866af89d133109168fad664
thefirefly.com,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.960251,c866af89d133109168fad664
dnevnik.bg,AVAILABILITY,fanboy_annoyance_allowlist_general_hide.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_allowlist_general_hide.txt,2001-02-11 17:00:59.961226,c866af89d133109168fad664
