idna_subject,checker_type,destination,source,tested_at,session_id
push.cnnindonesia.com,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.798236,d4ea50558cc3782c775b7b30
sme.sk,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.799029,d4ea50558cc3782c775b7b30
egmont.cz,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.799642,d4ea50558cc3782c775b7b30
thscore.mobi,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.800227,d4ea50558cc3782c775b7b30
kapook.com,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.801151,d4ea50558cc3782c775b7b30
sputnik-abkhazia.info,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.804068,d4ea50558cc3782c775b7b30
sputnik.kg,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.804533,d4ea50558cc3782c775b7b30
sputniknews.lt,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.804966,d4ea50558cc3782c775b7b30
sputnik.az,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.805433,d4ea50558cc3782c775b7b30
sputnik.by,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.805895,d4ea50558cc3782c775b7b30
armeniasputnik.am,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.806372,d4ea50558cc3782c775b7b30
sputnik-georgia.com,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.806866,d4ea50558cc3782c775b7b30
sputnik-tj.com,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.807381,d4ea50558cc3782c775b7b30
sputniknews.kz,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.807910,d4ea50558cc3782c775b7b30
sputnik-ossetia.com,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.808471,d4ea50558cc3782c775b7b30
sputniknews-uz.com,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.809044,d4ea50558cc3782c775b7b30
sputnik-news.ee,AVAILABILITY,fanboy_annoyance_international.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_international.txt,2001-02-11 17:50:28.809665,d4ea50558cc3782c775b7b30
