idna_subject,checker_type,destination,source,tested_at,session_id
4chan.org,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.806444,289f538639483ee12baf3747
anews.com,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.807117,289f538639483ee12baf3747
apnarm.net.au,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.807753,289f538639483ee12baf3747
bostonglobe.com,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.808307,289f538639483ee12baf3747
businessinsider.in,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.808792,289f538639483ee12baf3747
bwbx.io,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.809325,289f538639483ee12baf3747
cjr.org,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.809876,289f538639483ee12baf3747
complex.com,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.810426,289f538639483ee12baf3747
conteudo.jsuol.com.br,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.811024,289f538639483ee12baf3747
cultofmac.com,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.811612,289f538639483ee12baf3747
d.yimg.com,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.812218,289f538639483ee12baf3747
dailymaverick.co.za,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.812838,289f538639483ee12baf3747
data.indianexpress.com,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.813525,289f538639483ee12baf3747
easytutoriel.com,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.814191,289f538639483ee12baf3747
eatout.co.za,AVAILABILITY,fanboy_annoyance_specific_block.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_specific_block.txt,2001-02-11 17:50:46.814874,289f538639483ee12baf3747
