idna_subject,checker_type,destination,source,tested_at,session_id
123cursors.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.963682,5593b894da6f238b5dfd549c
1worldonline.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.964234,5593b894da6f238b5dfd549c
24smi.org,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.964738,5593b894da6f238b5dfd549c
2kurl.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.965231,5593b894da6f238b5dfd549c
37signals.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.965898,5593b894da6f238b5dfd549c
a.mailmunch.co,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.966427,5593b894da6f238b5dfd549c
a1000k.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.966960,5593b894da6f238b5dfd549c
abchukuk.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.967545,5593b894da6f238b5dfd549c
accengage.net,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.968188,5593b894da6f238b5dfd549c
actionbutton.co,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.968784,5593b894da6f238b5dfd549c
activehosted.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.969384,5593b894da6f238b5dfd549c
addinto.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.970070,5593b894da6f238b5dfd549c
adobe-campaign.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.970751,5593b894da6f238b5dfd549c
advantagemedia.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.971422,5593b894da6f238b5dfd549c
affiliates.eblastengine.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.972104,5593b894da6f238b5dfd549c
allpass.salemwebnetwork.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.972788,5593b894da6f238b5dfd549c
alluremedia.com.au,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.973534,5593b894da6f238b5dfd549c
amazonaws.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.974235,5593b894da6f238b5dfd549c
antenna.is,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.976886,5593b894da6f238b5dfd549c
apester.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.977626,5593b894da6f238b5dfd549c
api.branch.io,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.978382,5593b894da6f238b5dfd549c
api.giphy.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.979154,5593b894da6f238b5dfd549c
api.search.live.net,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.979989,5593b894da6f238b5dfd549c
api.traq.li,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.980829,5593b894da6f238b5dfd549c
app.e2ma.net,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.982282,5593b894da6f238b5dfd549c
appboy.eu,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.983564,5593b894da6f238b5dfd549c
assets.simplifydigital.co.uk,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.984606,5593b894da6f238b5dfd549c
asterilivestream.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.985550,5593b894da6f238b5dfd549c
autolinkmaker.itunes.apple.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.986510,5593b894da6f238b5dfd549c
ayc0zsm69431gfebd.xyz,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.987429,5593b894da6f238b5dfd549c
badges.alltop.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.988551,5593b894da6f238b5dfd549c
badgeville.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.989507,5593b894da6f238b5dfd549c
banana-splash.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.990465,5593b894da6f238b5dfd549c
batch.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.991444,5593b894da6f238b5dfd549c
beeketing.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.992546,5593b894da6f238b5dfd549c
beopinion.com,AVAILABILITY,fanboy_annoyance_thirdparty.txt,/home/runner/work/EasyList/EasyList/fanboy_annoyance_thirdparty.txt,2001-02-11 17:04:21.993552,5593b894da6f238b5dfd549c
