idna_subject,checker_type,destination,source,tested_at,session_id
novinite.bg,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.662823,d7d5a3266ebc05b666c2d570
sputnik-abkhazia.info,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.665965,d7d5a3266ebc05b666c2d570
sputnik.kg,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.666395,d7d5a3266ebc05b666c2d570
blic.rs,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.666757,d7d5a3266ebc05b666c2d570
sputnik.az,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.667128,d7d5a3266ebc05b666c2d570
sputniknews.lt,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.667506,d7d5a3266ebc05b666c2d570
sputnik.by,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.667899,d7d5a3266ebc05b666c2d570
armeniasputnik.am,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.668312,d7d5a3266ebc05b666c2d570
sputnik-georgia.com,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.668745,d7d5a3266ebc05b666c2d570
sputnik-tj.com,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.669218,d7d5a3266ebc05b666c2d570
rtvslo.si,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.669695,d7d5a3266ebc05b666c2d570
sputniknews.kz,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.670186,d7d5a3266ebc05b666c2d570
sputnik-ossetia.com,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.670693,d7d5a3266ebc05b666c2d570
sputniknews-uz.com,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.671214,d7d5a3266ebc05b666c2d570
sputnik-news.ee,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.671790,d7d5a3266ebc05b666c2d570
tvsa.ba,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.672704,d7d5a3266ebc05b666c2d570
meteovista.si,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.673383,d7d5a3266ebc05b666c2d570
delfi.ee,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.674260,d7d5a3266ebc05b666c2d570
360.cymru,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.675908,d7d5a3266ebc05b666c2d570
cas.sk,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.676920,d7d5a3266ebc05b666c2d570
vijesti.ba,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.677653,d7d5a3266ebc05b666c2d570
autoline.mk,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.680079,d7d5a3266ebc05b666c2d570
autoline.lt,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.681153,d7d5a3266ebc05b666c2d570
landrover.cz,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.681901,d7d5a3266ebc05b666c2d570
hrt.hr,AVAILABILITY,fanboy_social_international.txt,/home/runner/work/EasyList/EasyList/fanboy_social_international.txt,2001-02-11 17:54:22.682651,d7d5a3266ebc05b666c2d570
